Run,tsne_init,tsne_min,tsne_scalar,tsne_shepard,tsne_kruskal,tsne_trustworthiness,tsne_continuity,tsne_mrre_false,tsne_mrre_missing,tsne_neighborhood_hit,tsne_steadiness,tsne_cohesiveness,tsne_kl_divergence,tsne_pearson,umap_init,umap_min,umap_scalar,umap_shepard,umap_kruskal,umap_trustworthiness,umap_continuity,umap_mrre_false,umap_mrre_missing,umap_neighborhood_hit,umap_steadiness,umap_cohesiveness,umap_kl_divergence,umap_pearson,mds_init,mds_min,mds_scalar,mds_shepard,mds_kruskal,mds_trustworthiness,mds_continuity,mds_mrre_false,mds_mrre_missing,mds_neighborhood_hit,mds_steadiness,mds_cohesiveness,mds_kl_divergence,mds_pearson,random_init,random_min,random_scalar,random_shepard,random_kruskal,random_trustworthiness,random_continuity,random_mrre_false,random_mrre_missing,random_neighborhood_hit,random_steadiness,random_cohesiveness,random_kl_divergence,random_pearson
1.0,6.308315420155154,0.38197105034443835,0.12798576214991073,0.5379825685164502,0.37279618827549316,0.9894978689644404,0.9870444583084486,0.9941247652990639,0.9915068737395716,0.0,0.880865142727475,0.7204030674462827,0.1414585357863357,0.5296849410768298,1.2381453447575155,0.4764736193111235,0.43481528984579493,0.2045883859785288,0.4673941282331921,0.9896384085208858,0.9860873486523177,0.9919968365365125,0.991454154019385,0.0,0.8492314777637829,0.6523031486744258,0.22774955658314744,0.25379175574939744,0.29691190317336624,0.29691190316854926,1.0000017711526565,0.830371397493794,0.23762604833107823,0.9001515172820237,0.9282682847587479,0.9028938916805282,0.935338205393183,0.0,0.4965811956667524,0.5845665427780995,0.07470551186648819,0.812053264753355,0.933093623050033,0.46768033442882606,11.55869088460082,-0.005389068659771202,0.4289685481138806,0.5018987024821747,0.501445310081277,0.5009622531061944,0.5007360257556858,0.0,0.24121465673937936,0.283126841591531,0.14115706375323822,0.0012013400406599981
2.0,5.984982895774524,0.3723319564047511,0.1344781581027362,0.5158940403664468,0.361280163731836,0.9902553073602812,0.9874367701508487,0.9944807546506733,0.9912870111601724,0.0,0.8762295524209313,0.7272217667897762,0.16410401545507128,0.5418417770794799,1.2028841548013272,0.47678770682250055,0.44319323783890846,0.13474031064297878,0.45934189582343454,0.9886863560192349,0.9848321629104345,0.9916784401095354,0.9908825480691671,0.0,0.8557086108836635,0.662019125025201,0.24277657971241082,0.19743280774866223,0.30050711396237484,0.3005071139557431,1.0000020932026128,0.8155741358777983,0.24622603646498692,0.8933650379915647,0.9106678576882192,0.9008640668840235,0.9170107509388724,0.0,0.4930835267965197,0.6087095075258233,0.07364953332639676,0.8002695010740224,0.9332748345933867,0.4681764736981765,11.583216893989292,-0.0030352590739675034,0.42978970566512603,0.5016762370231566,0.5006994661371702,0.4982983831190926,0.4978992890070893,0.0,0.25404491901605486,0.3025598904916247,0.14282476581696069,0.0025874266932964024
3.0,6.273307917396485,0.3863238281763804,0.1283955249301683,0.517175750426093,0.37645176704612493,0.9901499705328243,0.9879532906410818,0.9943590264476422,0.9921620254971113,0.0,0.8822531948138226,0.7370849734715257,0.15987357921169265,0.5402544524404225,1.0812114852752772,0.4694420200445541,0.47549215740553985,0.19094093994049802,0.45755038885045146,0.9886446653310846,0.9848872735597409,0.9918738828060195,0.991243062796141,0.0,0.8547579868387816,0.6448976101114596,0.2451931006432439,0.24121797329830116,0.2960244223293018,0.29602442232894005,1.000000484492298,0.8356332786373255,0.23394681917417073,0.8944762551795746,0.9245650908819998,0.8994694770672695,0.9300291590550744,0.0,0.4739127789428593,0.5706788662299254,0.0756895304787576,0.8157464788451348,0.932589115098363,0.4665744403098937,11.487117885156692,0.004203713395836696,0.42914013493701797,0.5068499034083495,0.5029510593258492,0.5016541004363885,0.49654790820239075,0.0,0.2477460153162705,0.28310344877831506,0.13867514191456248,0.008784803152580506
4.0,6.114215946440305,0.3713691999508084,0.13204818679335384,0.5270728109905408,0.35792827825073015,0.9915149828685809,0.9883975061567774,0.9949099810705475,0.9920958735636086,0.0,0.882523644949589,0.7018110227635355,0.15803565401849978,0.55335664289174,1.1471192489718052,0.46733816965226815,0.45767242643691636,0.1858382050383223,0.45506051827453453,0.9899623130980547,0.9858881461039066,0.9924077711682789,0.9911982722612411,6.949270326615705e-05,0.8402369888734842,0.6764893513535969,0.23005406990934318,0.24512195339305237,0.2989373394149958,0.29893733941446565,1.000000589934893,0.8218892649334084,0.24247717063073718,0.8923060205054048,0.9169644343893412,0.8979170671614216,0.92273146054651,0.0,0.48696889303702384,0.5936381914782338,0.07266241559983865,0.8056276329656843,0.9324084213260416,0.4667714441958495,11.453245818944046,0.002834291563965297,0.42898958602892484,0.504972662996406,0.5001156238197403,0.5064718202139532,0.49348644826321136,0.0,0.2576424788920373,0.30192169603659835,0.14265022230558422,0.006856003939841807
5.0,5.764952424884264,0.387242577038927,0.13814659024155113,0.5002186205479285,0.3749077522708016,0.9882200617071524,0.9872671951269754,0.9934214844003616,0.9914161666440219,0.0,0.8746113532204207,0.6997769151060845,0.15906386250559879,0.5091051936725418,1.2312011248605663,0.4874360828961469,0.43575982670505004,0.10883983210536123,0.4671139624512234,0.9868722190275807,0.9851263166178343,0.9908423018115129,0.991170524709992,0.0,0.868458300462875,0.6354136706571345,0.25104677391793173,0.16886804294499502,0.29728187295637426,0.29728187295303465,1.0000014758502611,0.827104956722798,0.23947429659037595,0.8942774226668571,0.9268319788793492,0.9009411935081555,0.931381643628173,0.0,0.5383128219758886,0.5896049343801633,0.0748148329321938,0.8105013428935678,0.9326287579235549,0.46597290838410055,11.502586883931906,0.00515894526838647,0.4287690086674742,0.5056512591204547,0.5028578350000974,0.5029951092470977,0.49893833766390855,0.0,0.25415134151166086,0.28067491834597535,0.13916816317530578,0.010430056797638188
6.0,6.123893326006131,0.380554405246237,0.1314171805552103,0.47155143734258,0.3691633327659579,0.9913007075329154,0.9881402820116029,0.9949825980968738,0.9920028538351651,0.0,0.8617134409033781,0.7265760917241554,0.1543812525247345,0.5069078965970102,1.1900089510314684,0.4795827143503508,0.4462024104986645,0.11835279170408958,0.4604494097966957,0.9899649526860028,0.9851670452131812,0.9920523533860247,0.9912761340755534,0.0,0.8930482425501077,0.671125967008817,0.2611242854498414,0.18400911662024297,0.297537296854049,0.297537296854031,1.000000108235608,0.8270867577454162,0.23938856679584983,0.8981874418273053,0.923269028530492,0.9021495833185644,0.927687751043626,0.0,0.5010728587426224,0.5493048591084804,0.07282855018300169,0.8102639259141469,0.9328704780798023,0.4668256837403694,11.532178030322818,0.008171147511575256,0.42994016783379146,0.5031085958551561,0.5048330855327638,0.500498694706071,0.4997768937807808,0.0,0.26702790463140325,0.29540516233210956,0.14179032393245566,0.011616658682051521
7.0,5.826163428144752,0.3691766241572923,0.13780913803478595,0.5640598164198796,0.353128112234638,0.988955840680392,0.9871179967352984,0.9937390880136424,0.9912929976045679,0.0,0.8464062439699109,0.7161124488800649,0.1561575766852192,0.5788471671011995,1.1852671154821472,0.4831895047054499,0.4471887305207469,0.12894399657773967,0.4656388088930342,0.9895815957073886,0.9852919939324014,0.9918223465437802,0.9915606213394481,0.0,0.8771104906530122,0.6465047307961436,0.24656663892230068,0.19252832135698453,0.29498659519687653,0.29498659519671616,1.0000003219561397,0.8375820616887472,0.23253212789352515,0.897256382684007,0.9327865932614527,0.9001159292267761,0.9373566233443167,0.0,0.5275151135918974,0.6031590700193903,0.07578107641805004,0.8189731684384947,0.9322767041765708,0.4655303965639257,11.448441427689675,0.007807824548700463,0.4286605518553618,0.5054549181814078,0.5037843550388871,0.5059655515191522,0.498440373953165,0.0,0.25141502677612915,0.28915543511991915,0.13877319674611485,0.012728962809742736
8.0,6.101347410568444,0.3672186557088514,0.13248986279750938,0.5600675171099065,0.3553698030419317,0.9902565161435473,0.9877564069830177,0.9941725683903925,0.9917844731506137,0.0,0.8755508476162972,0.724024563535838,0.1570252546092779,0.5763620896965801,1.2308689104347597,0.48688790658213754,0.43587322347555185,0.13252210723565203,0.468474131262434,0.9881293289550709,0.9861555092270865,0.9914060771259875,0.991270707010715,0.0,0.8709651880549961,0.672486409791341,0.25723494929064217,0.18263107356365227,0.2975561871308516,0.2975561871296915,1.0000008703454701,0.8258481220824013,0.23977655223733038,0.8982203503349934,0.9221648913587537,0.9032814062485984,0.9287424492125198,0.0,0.4965310386149616,0.5781884642025222,0.07256680761720355,0.8098858805982199,0.9325301085458719,0.4679426294082227,11.45730675686641,-0.0011437267858975604,0.4295780270669438,0.5023231580918295,0.5000962586184396,0.5015122857718479,0.49787258269195,0.0,0.2423803096106969,0.27883615668184125,0.1453363936817346,0.002849911582316554
9.0,6.147351999817054,0.3804310285153805,0.13098579656794868,0.5126322917234075,0.36806022119946913,0.989643909718198,0.9872021428520328,0.9941027229051623,0.9916019452399721,0.0,0.8616822132839723,0.6712472987039587,0.15363307598107823,0.5315923872016707,1.1983311021987078,0.48369655231515,0.44391945982046654,0.17539311416030848,0.4698649698981577,0.989350570089324,0.986046842078387,0.9918295917134349,0.9913897321060516,0.0,0.8660631659306013,0.6490978322301453,0.2722582479769479,0.21706292289433746,0.2998337790436408,0.2998337790433049,1.0000004703940804,0.8172832958043309,0.24517099883448368,0.8950806714815711,0.9134342445338945,0.8991145825459802,0.9198155361833745,0.0,0.5067599173467879,0.5896509345212373,0.07388206401930245,0.8021188287596762,0.9334180243479672,0.4667793122152768,11.628739912578817,0.006637627178684543,0.4296171842370297,0.5045090329413175,0.4997128029636405,0.5003022049734468,0.4941901659160896,0.0,0.26040834293593274,0.300585044359049,0.1440965939771252,0.010081333407602663
10.0,6.023833239695182,0.3809810016896797,0.13329517977225355,0.5331601202431467,0.36419685693191317,0.988704956480102,0.9873403388490853,0.9936270741189801,0.9915867915734585,0.0,0.8702343517777575,0.7445141199682725,0.16121335495601502,0.5408073428333688,1.2500726366611823,0.4781205262727179,0.4319510152530807,0.15588148268546936,0.46489541044104415,0.9818729627993249,0.985856298365207,0.9869167839454659,0.9915588507930492,0.0,0.8860071095733463,0.6478904802482632,0.28020116374730714,0.21924386188427508,0.29681157078596926,0.29681157078596576,1.0000000484648206,0.8304684609717079,0.23693968950202401,0.8968002026808839,0.9236374607361293,0.9032490886464709,0.930805289807055,0.0,0.45925842665861916,0.5664316017346243,0.07367253681012503,0.8127885031517423,0.9327732317222299,0.4662528131637227,11.523555886213217,0.007242646706859663,0.4297359202399412,0.50250319279131,0.5032528851066307,0.5011973933711766,0.5036702876259198,0.0,0.24483639494439868,0.26849262054475087,0.13707900810203552,0.013998680161198412
Average,6.06683640088823,0.3777600327232746,0.13270513799454278,0.5239814973686379,0.36532824757488963,0.9898500121988434,0.9875656387815169,0.994192006339334,0.9916737012008264,0.0,0.8712069985683554,0.7168772268389494,0.1564946161733523,0.5408759890590844,1.1955110074474757,0.47889548029523993,0.44520677778007195,0.15360411660689482,0.46357836239242023,0.9882703372233953,0.9855338936660496,0.9912826385146551,0.9913004607180744,6.9492703266157055e-06,0.8661587561584652,0.6558228325896527,0.2514205366153116,0.21019078294539004,0.29763880808478,0.29763880808304427,1.000000823402884,0.8268841731957728,0.23935583064545618,0.8960121302634185,0.922258986501838,0.9009996286287787,0.9280898869152704,0.0,0.4979996571373932,0.5833932971978499,0.07402528592513577,0.8098228527394044,0.9327863298863821,0.46685064361083634,11.517508038029371,0.0032488141654372126,0.4293188834645491,0.5038947662891562,0.5019748681624495,0.5019857796464421,0.4981558312860191,0.0,0.25208673903739637,0.28838612142817144,0.14115508734051171,0.008113517726692878
